Compound,Also listed as / alias,Effect type,Primary effects (summary),Mechanism (short),Mechanistic Tags,Acute effect after one dose?,Onset/Peak/Duration,Recreational?,Dependence/Tolerance Risk,Daytime vs. Nighttime Fit,Voxra (Bupropion) Interaction,SSRI (Escitalopram 10mg) Interaction,Evidence Strength,Evidence Summary,Efficacy Score,Safety Score
Alpha-GPC,L-Alpha glycerylphosphorylcholine,Cholinergic,Increases acetylcholine; enhances memory and focus,Choline precursor; increases acetylcholine synthesis,Cholinergic|Choline|Cognitive enhancement,Mild,30-60m / 1-2h / 6-8h,No,No tolerance,Either,Safe combination,Safe combination,C,Evidence for cognitive enhancement and neuroprotection,7.0,9.0
CDP-Choline,Citicoline,Cholinergic,Boosts acetylcholine and dopamine; neuroprotective,Provides choline and cytidine for acetylcholine synthesis,Cholinergic|Dopamine|Neuroprotection,Mild,60-90m / 2-3h / 8-10h,No,No tolerance,Either,Safe combination,Safe combination,B,Strong evidence for cognitive enhancement and stroke recovery,7.5,9.0
L-Tyrosine,N/A,Amino acid,Supports dopamine production; improves focus under stress,Precursor to dopamine and norepinephrine,Dopamine|Norepinephrine|Stress resilience,Mild,30-60m / 1-2h / 4-6h,No,No tolerance,Daytime,Generally safe; mild additive effect,Safe; supports catecholamine synthesis,C,Moderate evidence for stress resilience and cognitive performance,6.5,9.5
N-Acetyl L-Tyrosine,NALT,Amino acid,More bioavailable form of L-tyrosine; cognitive support under stress,Precursor to dopamine and norepinephrine,Dopamine|Norepinephrine|Stress resilience,Mild,30-60m / 1-2h / 4-6h,No,No tolerance,Daytime,Generally safe; mild additive effect,Safe; supports catecholamine synthesis,C,Similar to L-tyrosine; debated bioavailability advantage,6.5,9.5
L-Theanine,Suntheanine,Anxiolytic (Amino acid),Promotes relaxation without sedation; reduces anxiety,Increases GABA; alpha wave activity,Anxiolytic|GABA|Calming|Non-sedating,Yes,30-60m / 1-2h / 4-6h,No,No tolerance,Either,Safe combination,Safe combination,B,Strong evidence for anxiety reduction and focus enhancement with caffeine,7.5,9.5
Caffeine,N/A,Stimulant,Increases alertness and energy; widely used,Adenosine receptor antagonist,Stimulant|Wakefulness|Adenosine,Yes,15-30m / 1-2h / 3-7h,No,Moderate tolerance,Daytime only,Safe; additive stimulant effect,Safe combination,A,Extensive evidence for alertness and cognitive performance,8.0,8.0
Caffeine + L-Theanine,N/A,Nootropic stack,Smooth focus and alertness without jitters; synergistic,Caffeine + GABA modulation,Stimulant|Anxiolytic|Focus|Synergistic,Yes,20-30m / 1-2h / 4-6h,No,Mild tolerance (caffeine),Daytime,Safe; well-tolerated combination,Safe combination,A,Strong synergistic evidence; popular and effective stack,8.5,9.0
Rhodiola Rosea,Golden root,Adaptogen,Reduces fatigue and stress; enhances endurance,Modulates cortisol; supports serotonin and dopamine,Adaptogen|Stress resilience|Dopamine|Serotonin,Mild,30-60m / 2-4h / 6-8h,No,No tolerance,Daytime,Safe combination,Monitor; mild serotonin interaction,B,Good evidence for stress reduction and fatigue,7.5,9.0
Ashwagandha,Withania somnifera|KSM-66,Adaptogen,Reduces stress and anxiety; improves sleep quality,Modulates cortisol; GABAergic effects,Adaptogen|Anxiolytic|GABA|Sleep,Mild,1-2h / 3-4h / 8-12h,No,No tolerance,Either; bedtime for sleep,Safe combination,Safe combination,B,Strong evidence for stress reduction and anxiety,8.0,9.0
Bacopa Monnieri,Brahmi,Nootropic (Adaptogen),Enhances memory and learning; reduces anxiety,Increases dendritic branching; serotonergic,Adaptogen|Nootropic|Memory|Anxiolytic,No,4-12 weeks / N/A / 24h,No,No tolerance,Either,Safe combination,Monitor; serotonergic effects,B,Good evidence for memory enhancement over time,7.0,9.0
Lion's Mane,Hericium erinaceus,Nootropic (Mushroom),Supports nerve growth and cognitive function; neuroprotective,Increases NGF and BDNF,Nootropic|Neuroprotection|NGF|BDNF,No,2-4 weeks / N/A / 24h,No,No tolerance,Either,Safe combination,Safe combination,C,Emerging evidence for cognitive support and nerve health,7.0,9.5
Phenibut,N/A,GABAergic (Anxiolytic),Powerful anxiolytic and euphoric; social enhancer,GABA-B agonist,GABAergic|Anxiolytic|Euphoric|Social,Yes,1-2h / 2-4h / 12-24h,Yes,High tolerance and dependence risk,Either; often nighttime,Safe; CNS depression risk,Safe; CNS depression possible,E,Limited clinical use; high abuse and dependence potential,7.0,4.0
Picamilon,Nicotinoyl-GABA,GABAergic (Anxiolytic),Mild anxiolytic; improves cerebral circulation,GABA crosses blood-brain barrier via niacin,GABAergic|Anxiolytic|Circulation,Yes,30-60m / 1-2h / 4-6h,No,Low tolerance,Either,Safe combination,Safe combination,E,Banned by FDA; limited clinical data,5.5,6.0
Fasoracetam,N/A,Nootropic (Racetam),Reduces anxiety; improves memory and focus,GABA-B upregulation; cholinergic,Racetam|Anxiolytic|GABA-B|Cholinergic,Yes,30-60m / 1-2h / 4-6h,No,No tolerance,Either,Safe combination,Safe combination,E,Very limited clinical data; Phase III trials for ADHD,6.5,7.5
Bromantane,Ladasten,Adaptogen (Actoprotector),Increases energy and reduces fatigue without stimulation; anxiolytic,Upregulates tyrosine hydroxylase; increases dopamine synthesis,Adaptogen|Dopamine|Anxiolytic|Energy,Mild,1-2h / 3-4h / 8-12h,No,No tolerance,Daytime,Safe; complementary dopaminergic effect,Safe combination,D,Used in Russia; limited Western clinical data,7.5,8.0
Semax,N/A,Nootropic (Peptide),Enhances cognitive function and stress resilience; neuroprotective,Increases BDNF; modulates enkephalins,Peptide|Neuroprotection|BDNF|Stress resilience,Yes,10-20m / 30m-1h / 3-5h,No,No tolerance,Daytime,Safe combination,Safe combination,D,Russian pharmaceutical; limited Western trials,7.5,7.5
Selank,N/A,Anxiolytic (Peptide),Reduces anxiety without sedation; improves stress resilience,Modulates enkephalins and GABA,Peptide|Anxiolytic|GABA|Stress resilience,Yes,10-20m / 30m-1h / 4-6h,No,No tolerance,Either,Safe combination,Safe combination,D,Russian pharmaceutical; limited Western clinical data,7.5,7.5
Tianeptine Sodium,Stablon|Coaxil,Antidepressant (Atypical),Improves mood and reduces anxiety; unique mechanism,Atypical action on glutamate and AMPA receptors,Antidepressant|Anxiolytic|Glutamate,Yes,1-2h / 2-3h / 2-4h,Mild,Moderate dependence at high doses,Either,Monitor; both affect monoamines,Caution; complex interaction possible,C,Approved in some countries; unique mechanism,7.0,6.0
Tianeptine Sulfate,N/A,Antidepressant (Atypical),Longer-lasting version of tianeptine sodium; smoother,Atypical action on glutamate and AMPA receptors,Antidepressant|Anxiolytic|Glutamate,Mild,2-3h / 3-4h / 8-12h,Mild,Moderate dependence at high doses,Either,Monitor; both affect monoamines,Caution; complex interaction possible,D,Similar to sodium form but extended release,7.0,6.0
Memantine,Namenda,NMDA antagonist,Neuroprotective; improves focus and memory at low doses,NMDA receptor antagonist,Neuroprotection|NMDA|Cognitive enhancement,Mild,2-4h / 4-6h / 60-80h,No,No tolerance,Either,Safe combination,Safe combination,B,FDA-approved for Alzheimer's; off-label cognitive use,7.0,8.5
Agmatine Sulfate,N/A,Neuromodulator,Reduces anxiety and neuropathic pain; mood enhancement,Modulates NMDA; nitric oxide synthesis,Anxiolytic|NMDA|Neuroprotection|Mood,Mild,30-60m / 1-2h / 6-8h,No,No tolerance,Either,Safe combination,Safe combination,D,Limited clinical trials; promising preclinical data,6.5,8.5
Sarcosine,N-Methylglycine,NMDA modulator,Enhances cognition and mood; potential antidepressant,Glycine transporter-1 inhibitor; increases NMDA activity,Cognitive enhancement|Antidepressant|NMDA,Mild,30-60m / 2-3h / 6-8h,No,No tolerance,Either,Safe combination,Monitor; both affect monoamines,C,Moderate evidence for cognitive and mood benefits,6.5,8.5
D-Serine,N/A,NMDA co-agonist,Cognitive enhancement; potential antipsychotic adjunct,NMDA receptor co-agonist,Cognitive enhancement|NMDA|Neuroprotection,Mild,30-60m / 1-2h / 4-6h,No,No tolerance,Either,Safe combination,Safe combination,C,Clinical evidence in schizophrenia; limited nootropic data,6.5,8.0
Magnesium L-Threonate,Magtein,Mineral (Nootropic form),Improves memory and cognitive function; reduces anxiety,Crosses blood-brain barrier; NMDA modulation,Cognitive enhancement|Anxiolytic|NMDA|Neuroprotection,Mild,1-2h / 2-4h / 8-12h,No,No tolerance,Either; bedtime for sleep,Safe combination,Safe combination,B,Patented form with evidence for brain magnesium increase,7.5,9.5
Magnesium Glycinate,N/A,Mineral (Calming),Promotes relaxation and sleep; reduces muscle tension,Increases GABA; muscle relaxation,Anxiolytic|GABA|Sleep|Muscle relaxation,Mild,30-60m / 1-2h / 8-12h,No,No tolerance,Nighttime,Safe combination,Safe combination,B,Well-absorbed form; good for sleep and anxiety,7.0,9.5
Zinc,N/A,Mineral,Supports cognitive function and mood; immune health,Modulates NMDA; supports neurotransmitter synthesis,Cognitive enhancement|NMDA|Mood|Immune,Mild,1-2h / 2-4h / 24h,No,No tolerance,Either,Safe combination,Safe combination,B,Essential nutrient; evidence for mood and cognition,6.5,9.5
Vitamin D3,Cholecalciferol,Vitamin,Supports mood and cognitive function; bone health,Modulates neurotransmitter synthesis; neuroprotection,Mood|Cognitive enhancement|Neuroprotection,No,Days to weeks / N/A / 24h,No,No tolerance,Either,Safe combination,Safe combination,A,Strong evidence for mood and immune health,7.5,9.5
Omega-3 (EPA/DHA),Fish oil,Essential fatty acid,Supports brain health and reduces inflammation; mood benefits,Neuronal membrane support; anti-inflammatory,Neuroprotection|Mood|Anti-inflammatory,No,Weeks / N/A / 24h,No,No tolerance,Either,Safe combination,Safe combination,A,Extensive evidence for brain health and mood,7.5,9.5
Huperzine A,N/A,Cholinesterase inhibitor,Enhances memory and learning; neuroprotective,Acetylcholinesterase inhibitor; increases acetylcholine,Cholinergic|Memory|Neuroprotection,Yes,30-60m / 2-4h / 10-14h,No,No tolerance,Either,Safe combination,Safe combination,C,Moderate evidence for cognitive enhancement,7.0,8.0
Sulbutiamine,Arcalion,Nootropic (Thiamine derivative),Increases energy and reduces fatigue; enhances memory,Increases thiamine in brain; modulates dopamine,Energy|Cognitive enhancement|Dopamine,Yes,30-60m / 2-3h / 5-7h,No,Tolerance possible,Daytime,Safe; mild additive effect,Safe combination,D,Limited clinical data; popular in nootropic community,6.5,7.5
Uridine Monophosphate,UMP,Nucleotide,Supports dopamine and memory; synergistic with choline and DHA,Increases phospholipid synthesis; dopaminergic,Dopamine|Memory|Neuroprotection,No,1-2h / 2-4h / 8-12h,No,No tolerance,Either,Safe combination,Safe combination,D,Limited clinical evidence; promising preclinical data,6.5,8.5
Creatine Monohydrate,N/A,Energy (ATP),Enhances cognitive function and physical performance,Increases ATP; cellular energy,Energy|Cognitive enhancement|Physical performance,Mild,1-2h / 2-4h / 24h,No,No tolerance,Either,Safe combination,Safe combination,A,Extensive evidence for physical and cognitive benefits,8.0,9.5
Mucuna Pruriens,Velvet bean,Dopamine precursor,Increases dopamine; improves mood and motivation,Contains L-DOPA; converts to dopamine,Dopamine|Mood|Motivation,Yes,30-60m / 1-2h / 4-6h,Mild,Tolerance possible,Daytime,Caution; additive dopaminergic effect,Monitor; dopamine-serotonin interaction,D,Traditional use; limited modern clinical trials,6.5,7.0
Nicotine,N/A,Stimulant (Nootropic),Enhances focus and cognitive performance; highly addictive,Nicotinic acetylcholine receptor agonist,Stimulant|Cholinergic|Cognitive enhancement,Yes,5-10m / 30m-1h / 1-2h,Yes,High dependence risk,Daytime,Safe but additive stimulant effects,Safe combination,B,Strong evidence for cognitive enhancement but high addiction risk,7.5,3.0
Pregnenolone,N/A,Neurosteroid,Enhances memory and reduces fatigue; mood support,Precursor to other neurosteroids; NMDA modulation,Neurosteroid|Memory|Mood|NMDA,Mild,1-2h / 2-4h / 8-12h,No,No tolerance,Either,Safe combination,Safe combination,D,Limited clinical evidence; promising mechanism,6.0,8.0
DHEA,Dehydroepiandrosterone,Neurosteroid,Enhances mood and energy; anti-aging effects,Precursor to sex hormones; neuroprotection,Neurosteroid|Mood|Energy|Anti-aging,Mild,1-2h / 2-4h / 8-12h,No,No tolerance,Daytime,Safe combination,Safe combination,C,Moderate evidence for mood and aging,6.5,7.5
Melatonin,N/A,Sleep aid,Promotes sleep onset and improves sleep quality,Melatonin receptor agonist,Sleep|Circadian rhythm|Antioxidant,Yes,20-30m / 1-2h / 4-6h,No,No tolerance,Nighttime only,Safe combination,Safe combination,A,Strong evidence for sleep and circadian regulation,8.5,9.0
5-HTP,5-Hydroxytryptophan,Serotonin precursor,Improves mood and sleep; reduces anxiety,Converts to serotonin,Mood|Anxiolytic|Sleep|Serotonin,Mild,30-60m / 1-2h / 4-6h,No,No tolerance,Either; nighttime for sleep,Caution; serotonin syndrome risk,Avoid; high serotonin syndrome risk,C,Moderate evidence for mood and sleep,6.5,6.0
Tryptophan,L-Tryptophan,Serotonin precursor,Promotes sleep and mood; less direct than 5-HTP,Converts to 5-HTP then serotonin,Mood|Sleep|Serotonin,Mild,1-2h / 2-3h / 6-8h,No,No tolerance,Nighttime,Caution; serotonin syndrome risk,Caution; serotonin syndrome risk,C,Evidence for sleep and mood support,6.5,7.0
Taurine,N/A,Amino acid (GABAergic),Promotes relaxation and reduces anxiety; cardiovascular support,GABA receptor modulation,Anxiolytic|GABA|Cardiovascular|Neuroprotection,Mild,30-60m / 1-2h / 4-6h,No,No tolerance,Either,Safe combination,Safe combination,C,Moderate evidence for anxiety and cardiovascular health,7.0,9.5
GABA,Gamma-Aminobutyric Acid,GABAergic,Promotes relaxation; limited brain penetration,Direct GABA receptor activation (peripheral),Anxiolytic|GABA|Relaxation,Mild,30-60m / 1-2h / 3-5h,No,No tolerance,Either,Safe combination,Safe combination,D,Questionable brain penetration; peripheral effects,5.0,9.0
Kava Kava,Piper methysticum,Anxiolytic (Herbal),Powerful anxiolytic and muscle relaxant,GABA-A positive allosteric modulation,Anxiolytic|GABAergic|Muscle relaxation,Yes,30-60m / 1-2h / 4-6h,Mild,Tolerance possible,Either; evening preferred,Safe combination,Safe combination,C,Traditional use; hepatotoxicity concerns with poor-quality extracts,7.5,6.0
Valerian Root,Valeriana officinalis,Sleep aid (Herbal),Promotes sleep and reduces anxiety; sedating,GABA-A modulation; adenosine,Sleep|Anxiolytic|GABAergic|Sedating,Yes,30-60m / 1-2h / 6-8h,No,No tolerance,Nighttime,Safe combination,Safe combination,C,Traditional use; moderate evidence for sleep,6.5,8.5
Lemon Balm,Melissa officinalis,Anxiolytic (Herbal),Reduces anxiety and promotes relaxation; cognitive support,GABA transaminase inhibition; acetylcholine support,Anxiolytic|Cholinergic|Calming,Yes,30-60m / 1-2h / 4-6h,No,No tolerance,Either,Safe combination,Safe combination,C,Traditional use; moderate evidence for anxiety,6.5,9.0
Passionflower,Passiflora incarnata,Anxiolytic (Herbal),Reduces anxiety and improves sleep; sedating,GABA-A modulation,Anxiolytic|GABAergic|Sleep,Yes,30-60m / 1-2h / 4-6h,No,No tolerance,Nighttime,Safe combination,Safe combination,C,Traditional use; moderate evidence for anxiety,6.5,8.5
Emoxypine Succinate,Mexidol,Antioxidant (Anxiolytic),Reduces anxiety and oxidative stress; neuroprotective,Antioxidant; GABA modulation,Anxiolytic|Antioxidant|Neuroprotection|GABA,Mild,30-60m / 2-3h / 6-8h,No,No tolerance,Either,Safe combination,Safe combination,D,Russian pharmaceutical; limited Western data,7.0,8.5
Mirtazapine,Remeron,Antidepressant (Sedating),Improves mood and sleep; appetite stimulation,5-HT2 and 5-HT3 antagonist; H1 antagonist,Antidepressant|Sleep|Sedating|Serotonin,Yes,30-60m / 2-4h / 20-40h,No,Low tolerance,Nighttime,Caution; both affect norepinephrine,Safe; different serotonin mechanisms,A,FDA-approved antidepressant with sedating profile,8.0,8.0
Buspirone,Buspar,Anxiolytic,Reduces anxiety without sedation; slow onset,5-HT1A partial agonist,Anxiolytic|Serotonin|Non-sedating,No,1-2 weeks / N/A / 2-3h,No,No tolerance,Either,Safe combination,Safe; different serotonin mechanisms,A,FDA-approved anxiolytic; non-addictive,7.5,9.0
Hydroxyzine,Vistaril|Atarax,Anxiolytic (Antihistamine),Rapid anxiety relief and sedation,H1 antihistamine,Anxiolytic|Antihistamine|Sedating,Yes,15-30m / 2h / 3-6h,No,No tolerance,Either; PRN use,Safe combination,Safe combination,A,FDA-approved for anxiety; effective PRN option,8.0,8.5
Propranolol,Inderal,Beta-blocker (Anxiolytic),Reduces physical anxiety symptoms (tremor palpitations),Beta-adrenergic receptor antagonist,Anxiolytic|Beta-blocker|Performance anxiety,Yes,30-60m / 1-2h / 4-6h,No,No tolerance,PRN or scheduled,Safe combination,Safe combination,A,FDA-approved for performance anxiety; effective for physical symptoms,8.0,8.5
Pregabalin,Lyrica,GABAergic (Anxiolytic),Powerful anxiolytic and pain relief; euphoric at high doses,Voltage-gated calcium channel modulator,Anxiolytic|GABAergic|Pain relief|Euphoric,Yes,30-60m / 1-2h / 6-8h,Yes,Moderate dependence risk,Either; often evening,Safe; CNS depression risk,Safe; CNS depression possible,A,FDA-approved for anxiety and neuropathic pain,8.5,7.0
Gabapentin,Neurontin,GABAergic (Anxiolytic),Reduces anxiety and pain; less potent than pregabalin,Voltage-gated calcium channel modulator,Anxiolytic|GABAergic|Pain relief,Yes,1-2h / 2-3h / 5-7h,Mild,Mild tolerance,Either,Safe; monitor CNS effects,Safe combination,B,FDA-approved for neuropathic pain; off-label for anxiety,7.5,8.0
Silexan,Lavender oil WS 1265,Anxiolytic (Herbal),Reduces anxiety comparable to benzodiazepines; well-tolerated,Voltage-gated calcium channel modulation,Anxiolytic|Calming|Non-sedating,Mild,1-2h / 2-4h / 12-24h,No,No tolerance,Either,Safe combination,Safe combination,B,Clinical evidence comparable to benzodiazepines without addiction,8.0,9.0
Bupropion,Wellbutrin|Voxra,Antidepressant (Stimulating),Improves mood and energy; aids smoking cessation,NDRI (norepinephrine-dopamine reuptake inhibitor),Antidepressant|Stimulating|Dopamine|Norepinephrine,Mild,1-2 weeks / N/A / 21h,No,Low tolerance,Daytime,N/A (reference compound),Safe; bupropion doesn't affect serotonin,A,FDA-approved antidepressant with activating profile,8.0,8.0
Escitalopram,Lexapro,SSRI,Improves mood and reduces anxiety over weeks,Selective serotonin reuptake inhibitor,Antidepressant|Anxiolytic|SSRI|Serotonin,No,2-4 weeks / N/A / 27-32h,No,Low tolerance,Either,Safe; bupropion doesn't affect serotonin,N/A (reference compound),A,FDA-approved SSRI; first-line for depression and anxiety,8.0,8.5
Temgicoluril,Mebicar|Adaptol,Anxiolytic,Reduces anxiety and stress without sedation; Russian pharmaceutical,Modulates GABA and monoamines,Anxiolytic|GABA|Non-sedating|Stress resilience,Mild,30-60m / 2-3h / 6-8h,No,No tolerance,Either,Safe combination,Safe combination,D,Used in Russia; limited Western clinical data,7.0,8.5
Alimemazine,Trimeprazine|Repeltin,Antihistamine (Sedating),Strong sedation and anxiety reduction; sleep aid,H1 antihistamine with anticholinergic effects,Sedating|Anxiolytic|Antihistamine|Sleep,Yes,30-60m / 1-2h / 6-10h,No,Low tolerance,Nighttime or PRN,Safe combination,Safe combination,B,Approved in some countries for anxiety and sleep,7.5,8.0
